Timestamp,Jenis Beasiswa ,Tingkat Pendidikan yang Dituju,Negara Tujuan Kuliah,Bidang Studi yang dipilih saat mendaftar,Mendaftar dengan menggunakan LoA sesuai ketentuan LPDP ,Apakah anda dinyatakan Lulus Seleksi Substansi Akademik Pada gelombang I Tahun 2021?,Jumlah Jawaban Benar pada Tes Penalaran Verbal,Jumlah Jawaban Benar pada Tes Kuantitatif,Jumlah Jawaban Benar pada Tes Pemecahan Masalah,[optional] Kampus/universitas tujuan saat ini (pilihan 1)
6/24/2021 17:57:33,Reguler,S2,Luar Negeri,LIN,"Ya, dengan Loa",Ya,17,17,7,University of Warwick 
6/24/2021 18:00:53,Targeted,S2,Luar Negeri,ENT,Tidak,Ya,15,18,6,
6/24/2021 18:02:09,Reguler,S2,Luar Negeri,LAW,"Ya, dengan Loa",Ya,15,18,7,Leiden University
6/24/2021 18:04:22,Reguler,S2,Luar Negeri,DEV,"Ya, dengan Loa",Tidak,14,10,6,Erasmus University Rotterdam
6/24/2021 18:05:28,Reguler,S2,Dalam negeri,FOR,"Ya, dengan Loa",Ya,16,14,9,ITB
6/24/2021 18:06:07,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,17,19,6,UGM
6/24/2021 18:06:53,Reguler,S2,Dalam negeri,TRP,Tidak,Tidak,12,17,6,UGM
6/24/2021 18:08:34,Reguler,S2,Luar Negeri,ARC,"Ya, dengan Loa",Tidak,13,14,6,The University of Sheffield
6/24/2021 18:11:25,Reguler,S3,Luar Negeri,PHY,Tidak,Ya,15,15,5,University of Cambridge
6/24/2021 18:12:01,Reguler,S2,Luar Negeri,DEV,"Ya, dengan Loa",Ya,18,16,6,
6/24/2021 18:14:18,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,18,15,10,Universitas gadjah mada
6/24/2021 18:16:10,Reguler,S2,Dalam negeri,FOR,Tidak,Ya,18,12,7,IPB
6/24/2021 18:18:01,Reguler,S3,Dalam negeri,TRP,"Ya, dengan Loa",Tidak,14,11,7,
6/24/2021 18:18:46,Targeted,S3,Luar Negeri,INS,"Ya, dengan Loa",Ya,14,17,7,Ghent University
6/24/2021 18:20:35,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,13,12,7,Universitas Gadjah Mada
6/24/2021 18:22:55,Reguler,S2,Dalam negeri,TRP,Tidak,Ya,18,15,7,Itb
6/24/2021 18:23:19,Reguler,S2,Luar Negeri,BUS,Tidak,Tidak,14,7,6,Columbia University
6/24/2021 18:25:17,Afirmasi,S2,Luar Negeri,LIN,Tidak,Ya,13,9,5,
6/24/2021 18:26:33,Reguler,S2,Luar Negeri,ENV,"Ya, dengan Loa",Ya,16,13,6,Imperial College London
6/24/2021 18:26:48,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,19,15,4,ITB
6/24/2021 18:27:50,Targeted,S2,Luar Negeri,ACC,Tidak,Ya,14,19,6,MSU
6/24/2021 18:34:14,Reguler,S2,Luar Negeri,COM,Tidak,Ya,15,15,6,ANU
6/24/2021 18:34:29,Targeted,S2,Luar Negeri,COM,"Ya, dengan Loa",Ya,15,16,6,KCL - Strategic Communication
